"sim_id","SOC1_Concl","SOC2_Concl","DIR1_Concl","DIR2_Concl","CONTR1_Concl","CONTR2_Concl"
1,0.983,0.035,0.983,0.995,0.985,0.973
2,0.645,0.029,0.645,0.987,0.939,0.747
3,0.792,0.089,0.792,0.995,0.576,0.965
4,0.951,0.153,0.951,0.979,0.939,0.945
5,0.816,0.246,0.816,0.964,0.482,0.858
6,0.95,0.638,0.95,0.991,0.828,0.963
7,0.543,0.739,0.543,0.978,0.204,0.693
8,0.858,0.026,0.858,0.997,0.871,0.993
9,0.955,0.359,0.955,0.978,0.957,0.901
10,0.928,0.392,0.928,0.983,0.927,0.858
11,0.904,0.005,0.904,0.992,0.967,0.97
12,0.882,0.098,0.882,0.996,0.778,0.817
13,0.317,0.045,0.317,0.975,0.652,0.853
14,0.778,0.084,0.778,0.987,0.845,0.378
15,0.74,0.035,0.74,0.994,0.93,0.939
16,0.871,0.097,0.871,0.998,0.769,0.944
17,0.991,0.114,0.991,0.883,0.98,0.724
18,0.63,0.213,0.63,0.993,0.205,0.923
19,0.963,0.118,0.963,0.952,0.99,0.811
20,0.876,0.383,0.876,0.992,0.918,0.687
21,0.97,0.089,0.97,0.996,0.985,0.961
22,0.429,0.108,0.429,0.991,0.581,0.814
23,0.848,0.068,0.848,0.981,0.854,0.941
24,0.61,0.739,0.61,0.975,0.887,0.795
25,0.767,0.133,0.767,0.996,0.515,0.933
26,0.594,0.065,0.594,0.951,0.911,0.53
27,0.686,0.206,0.686,0.989,0.584,0.751
28,0.988,0.668,0.988,0.994,0.954,0.955
29,0.921,0.026,0.921,0.987,0.963,0.55
30,0.45,0.037,0.45,0.982,0.465,0.868
31,0.781,0.037,0.781,0.977,0.954,0.92
32,0.942,0.047,0.942,0.994,0.956,0.967
