"sim_id","SOC1_Concl","SOC2_Concl","DIR1_Concl","DIR2_Concl","CONTR1_Concl","CONTR2_Concl"
1,0.967,0.076,0.967,0.994,0.915,0.985
2,0.988,0.054,0.988,0.996,0.977,0.995
3,0.906,0.021,0.906,0.987,0.704,0.959
4,0.954,0.667,0.954,0.997,0.954,0.992
5,0.989,0.011,0.989,0.997,0.981,0.976
6,0.941,0.01,0.941,0.997,0.977,0.982
7,0.987,0.007,0.987,0.992,0.981,0.963
8,0.982,0.033,0.982,0.989,0.987,0.959
9,0.727,0.033,0.727,0.994,0.575,0.974
10,0.84,0.037,0.84,0.995,0.935,0.988
11,0.986,0.038,0.986,0.991,0.984,0.712
12,0.95,0.022,0.95,0.991,0.981,0.959
13,0.935,0.011,0.935,0.997,0.982,0.99
14,0.993,0.048,0.993,0.997,0.986,0.98
15,0.963,0.049,0.963,0.991,0.947,0.981
16,0.96,0.02,0.96,0.997,0.991,0.99
17,0.965,0.021,0.965,0.997,0.883,0.971
18,0.595,0.194,0.595,0.956,0.806,0.874
19,0.98,0.01,0.98,0.996,0.981,0.985
20,0.881,0.021,0.881,0.995,0.834,0.863
21,0.984,0.037,0.984,0.996,0.977,0.956
22,0.94,0.01,0.94,0.988,0.904,0.973
23,0.675,0.031,0.675,0.992,0.962,0.966
24,0.988,0.02,0.988,0.995,0.982,0.917
25,0.972,0.097,0.972,0.998,0.904,0.98
26,0.864,0.017,0.864,0.987,0.978,0.966
27,0.631,0.088,0.631,0.882,0.912,0.755
28,0.99,0.071,0.99,0.986,0.982,0.973
29,0.958,0.034,0.958,0.997,0.989,0.978
30,0.988,0.022,0.988,0.996,0.983,0.695
31,0.821,0.013,0.821,0.962,0.924,0.916
32,0.912,0.015,0.912,0.997,0.954,0.989
