sim_id,test_activity_correct,test_activity_incorrect,direction_activity_SOCconsistent,direction_activity_inverse,control_activity_ordered,control_activity_inverse,model_type
1,0.992,0.122,0.992,0.866,0.992,0.881,split
2,0.788,0.006,0.788,0.415,0.861,0.143,split
3,0.98,0.021,0.98,0.43,0.983,0.384,split
4,0.957,0.018,0.957,0.555,0.982,0.348,split
5,0.964,0.022,0.964,0.763,0.961,0.642,split
6,0.961,0.044,0.961,0.624,0.939,0.847,split
7,0.979,0.072,0.979,0.99,0.96,0.971,split
8,0.881,0.048,0.881,0.817,0.902,0.726,split
9,0.973,0.032,0.973,0.029,0.963,0.144,split
10,0.981,0.02,0.981,0.129,0.987,0.168,split
11,0.921,0.029,0.921,0.031,0.922,0.086,split
12,0.976,0.039,0.976,0.689,0.965,0.844,split
13,0.97,0.027,0.97,0.192,0.974,0.354,split
14,0.981,0.042,0.981,0.571,0.978,0.548,split
15,0.985,0.019,0.985,0.902,0.983,0.577,split
16,0.992,0.051,0.992,0.87,0.994,0.798,split
17,0.769,0.021,0.769,0.808,0.849,0.642,split
18,0.815,0.025,0.815,0.752,0.895,0.549,split
19,0.981,0.034,0.981,0.898,0.974,0.769,split
20,0.987,0.03,0.987,0.219,0.963,0.229,split
21,0.983,0.019,0.983,0.422,0.992,0.396,split
22,0.981,0.051,0.981,0.364,0.975,0.647,split
23,0.975,0.055,0.975,0.283,0.956,0.377,split
24,0.968,0.06,0.968,0.972,0.975,0.933,split
25,0.974,0.027,0.974,0.89,0.986,0.702,split
26,0.98,0.048,0.98,0.943,0.985,0.899,split
27,0.964,0.037,0.964,0.841,0.975,0.362,split
28,0.929,0.035,0.929,0.963,0.868,0.917,split
29,0.959,0.04,0.959,0.081,0.952,0.067,split
30,0.967,0.023,0.967,0.863,0.974,0.828,split
31,0.975,0.01,0.975,0.172,0.968,0.234,no_inverse
32,0.87,0.019,0.87,0.451,0.967,0.337,no_inverse
33,0.971,0.006,0.971,0.119,0.981,0.14,no_inverse
34,0.988,0.017,0.988,0.519,0.984,0.284,no_inverse
35,0.987,0.036,0.987,0.586,0.985,0.321,no_inverse
36,0.986,0.018,0.986,0.417,0.949,0.762,no_inverse
37,0.987,0.045,0.987,0.733,0.973,0.25,no_inverse
38,0.98,0.104,0.98,0.834,0.988,0.891,no_inverse
39,0.983,0.023,0.983,0.266,0.978,0.683,no_inverse
40,0.972,0.019,0.972,0.365,0.988,0.407,no_inverse
41,0.981,0.034,0.981,0.581,0.982,0.604,no_inverse
42,0.993,0.01,0.993,0.283,0.988,0.046,no_inverse
43,0.977,0.012,0.977,0.317,0.983,0.47,no_inverse
44,0.963,0.011,0.963,0.416,0.964,0.669,no_inverse
45,0.989,0.016,0.989,0.15,0.962,0.292,no_inverse
46,0.958,0.014,0.958,0.394,0.984,0.105,no_inverse
47,0.972,0.007,0.972,0.472,0.985,0.554,no_inverse
48,0.984,0.026,0.984,0.726,0.974,0.562,no_inverse
49,0.99,0.082,0.99,0.766,0.959,0.657,no_inverse
50,0.983,0.024,0.983,0.791,0.988,0.23,no_inverse
51,0.939,0.02,0.939,0.829,0.981,0.546,no_inverse
52,0.965,0.024,0.965,0.51,0.97,0.607,no_inverse
53,0.993,0.046,0.993,0.825,0.985,0.347,no_inverse
54,0.989,0.106,0.989,0.795,0.981,0.945,no_inverse
55,0.986,0.026,0.986,0.921,0.981,0.834,no_inverse
56,0.985,0.032,0.985,0.504,0.983,0.426,no_inverse
57,0.989,0.069,0.989,0.614,0.981,0.398,no_inverse
58,0.986,0.019,0.986,0.158,0.989,0.239,no_inverse
59,0.937,0.017,0.937,0.322,0.981,0.55,no_inverse
60,0.994,0.11,0.994,0.899,0.994,0.269,no_inverse
