sub_id,age,class_year,gender,static_con,causal_con,soc_con,dir_con,contrDir_con,correct_soc_choice,test_soc_choice,intuit_soc_choice,final_soc_choice,ordered_dir_choice,test_dir_choice,intuit_dir_choice,final_dir_choice,ordered_contrDir_choice,test_contrDir_choice,intuit_contrDir_choice,final_contrDir_choice,memory_check,test_rating_correct,test_rating_incorrect,intuit_test_rating_correct,intuit_test_rating_incorrect,direction_rating_SOCconsistent,direction_rating_inverse,intuit_direction_rating_SOCconsistent,intuit_direction_rating_inverse,control_rating_ordered,control_rating_inverse,intuit_control_rating_ordered,intuit_control_rating_inverse
1,18,2026,Woman,2,3,1,2,1,left,left,,left,right,both,,both,left,both,,both,1,90,30,,,95,80,,,80,82,,
2,20,2024,Woman,3,4,2,1,1,left,right,,right,left,right,,right,left,unsure,left,left,1,10,75,,,10,90,,,10,75,,
3,18,2026,Man,4,4,2,1,2,right,right,,right,left,both,,both,right,neither,,neither,1,23,77,,,50,50,,,0,0,,
4,19,2026,Man,4,4,2,1,2,right,unsure,left,left,left,right,,right,right,left,,left,2,,,,,50,50,,,70,40,,
5,18,2026,Woman,3,2,1,2,1,left,left,,left,right,right,,right,left,unsure,left,left,1,70,30,,,65,50,,,,,2,2
6,18,2026,Man,3,2,2,2,1,right,neither,,neither,right,neither,,neither,left,neither,,neither,1,10,10,,,10,10,,,0,0,,
7,20,2024,Man,3,2,2,2,1,right,right,,right,right,unsure,right,right,left,left,,left,1,80,20,,,75,60,40,60,50,40,,
8,18,2026,Woman,2,4,2,1,2,right,right,,right,left,unsure,right,right,right,neither,,neither,2,70,30,,,20,60,15,30,20,20,,
9,18,2026,Man,1,2,2,2,1,right,unsure,left,left,right,unsure,right,right,left,unsure,both,both,1,0,0,0,0,0,0,0,0,0,0,0,0
10,20,2025,Woman,3,3,1,2,2,right,unsure,right,right,right,unsure,left,left,right,unsure,left,left,1,55,0,55,0,55,100,45,100,0,55,0,55
11,21,2024,Woman,3,3,1,2,2,right,unsure,right,right,right,unsure,left,left,right,unsure,neither,neither,1,55,20,60,40,40,80,40,70,30,5,30,5
12,19,2025,Woman,4,4,1,1,2,left,unsure,neither,neither,left,neither,,neither,right,neither,,neither,1,0,0,50,50,30,30,,,30,30,,
13,18,2026,Woman,3,4,2,1,1,left,unsure,left,left,left,right,,right,left,neither,,neither,1,50,30,50,30,20,80,,,40,40,,
14,19,2025,Woman,2,4,2,1,2,right,right,,right,left,unsure,left,left,right,left,,left,1,60,40,,,55,70,70,30,25,30,,
15,19,2026,Man,3,1,1,1,2,left,left,,left,left,right,,right,right,right,,right,2,70,25,,,30,80,,,70,40,,
16,18,2026,Man,4,4,2,1,2,right,neither,,neither,left,both,,both,right,neither,,neither,2,10,10,60,80,,,10,10,,,,
17,20,2026,Man,3,4,1,1,1,left,unsure,left,left,left,both,,both,left,both,,both,1,50,100,0,100,100,100,,,100,100,,
18,18,2026,Gender fluid,2,4,1,1,2,left,unsure,left,left,left,unsure,both,both,right,right,,right,1,50,50,50,50,50,50,,,50,50,,
19,20,2026,Man,1,4,1,1,1,right,left,,left,left,right,,right,left,unsure,neither,neither,1,10,60,,,10,90,,,10,30,20,20
20,19,2025,Man,1,4,1,1,1,right,both,,both,left,neither,,neither,left,unsure,neither,neither,1,80,80,,,45,45,,,50,50,30,30
21,20,2026,Man,1,3,2,2,2,left,right,,right,right,left,,left,right,unsure,right,right,1,40,50,,,50,70,,,50,50,40,55
22,20,2024,Woman,3,4,2,1,1,left,neither,,neither,left,left,,left,left,both,,both,1,20,20,,,80,20,,,55,60,,
23,18,2026,Woman,1,4,2,1,1,left,neither,,neither,left,right,,right,left,neither,,neither,1,20,20,,,20,90,,,20,20,,
24,19,2025,Woman,4,3,2,2,1,right,unsure,neither,neither,right,left,,left,left,neither,,neither,1,50,0,50,0,25,75,,,25,25,,
25,18,2026,Woman,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,18,2026,Man,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,18,2026,Man,1,4,1,1,1,right,both,,both,left,left,,left,left,left,,left,1,100,100,,,100,0,,,100,0,,
