sub_id,age,class_year,gender,static_con,causal_con,soc_con,dir_con,contrDir_con,correct_soc_choice,test_soc_choice,intuit_soc_choice,final_soc_choice,ordered_dir_choice,test_dir_choice,intuit_dir_choice,final_dir_choice,ordered_contrDir_choice,test_contrDir_choice,intuit_contrDir_choice,final_contrDir_choice,memory_check,test_rating_correct,test_rating_incorrect,intuit_test_rating_correct,intuit_test_rating_incorrect,final_test_rating_correct,final_test_rating_incorrect,direction_rating_SOCconsistent,direction_rating_inverse,intuit_direction_rating_SOCconsistent,intuit_direction_rating_inverse,final_direction_rating_SOCconsistent,final_direction_rating_inverse,control_rating_ordered,control_rating_inverse,intuit_control_rating_ordered,intuit_control_rating_inverse,final_control_rating_ordered,final_control_rating_inverse,blicketness
1,18,2026,woman,4,4,1,3,2,right,right,,right,left,right,,right,right,unsure,neither,neither,1,85,20,,,85,20,90,50,,,90,50,55,0,10,0,10,0,
2,19,2026,man,3,1,1,1,2,right,unsure,left,left,left,unsure,neither,neither,right,unsure,neither,neither,1,50,50,51,49,51,49,50,50,49,49,49,49,50,50,49,49,49,49,
3,19,2026,man,4,4,2,3,1,left,unsure,neither,neither,left,unsure,left,left,left,unsure,right,right,1,50,50,10,35,10,35,50,50,75,10,75,10,50,50,15,75,15,75,
4,19,2026,woman,1,3,1,6,2,right,unsure,neither,neither,right,left,,left,right,neither,,neither,1,50,50,40,40,40,40,20,90,,,20,90,20,20,,,20,20,
5,18,2026,man,3,4,1,5,1,left,unsure,neither,neither,left,unsure,right,right,left,unsure,right,right,1,50,50,50,50,50,50,50,60,50,60,50,60,50,55,50,55,50,55,
6,19,2025,woman,3,1,1,1,2,right,unsure,right,right,left,right,,right,right,right,,right,1,50,50,50,50,50,50,20,80,,,20,80,90,10,,,90,10,
7,19,2026,woman,2,3,1,4,1,right,right,,right,right,unsure,left,left,left,left,,left,1,50,50,,,50,50,50,50,50,50,50,50,50,50,,,50,50,2
8,19,2026,woman,3,2,2,2,1,left,left,,left,right,neither,,neither,left,left,,left,1,70,30,,,70,30,30,30,,,30,30,60,40,,,60,40,2
9,21,2023,woman,1,3,2,6,2,right,neither,,neither,right,left,,left,right,neither,,neither,1,30,30,,,30,30,20,99,,,20,99,10,10,,,10,10,2
10,19,2026,woman,3,1,1,1,2,right,unsure,right,right,left,right,,right,right,both,,both,1,70,30,70,30,70,30,20,80,,,20,80,75,70,,,75,70,2
11,20,2024,man,3,2,2,2,1,left,unsure,left,left,right,both,,both,left,both,,both,1,50,40,60,50,60,50,60,70,,,60,70,78,67,,,78,67,1
12,18,2026,man,1,3,2,6,2,right,right,,right,right,unsure,left,left,right,left,,left,1,85,12,,,85,12,50,60,50,60,50,60,20,80,,,20,80,1
