"age","class_year","gender","static_con","causal_con","soc_con","dir_con","contrDir_con","memory_check","test_rating_correct","test_rating_incorrect","intuit_test_rating_correct","intuit_test_rating_incorrect","direction_rating_SOCconsistent","direction_rating_inverse","intuit_direction_rating_SOCconsistent","intuit_direction_rating_inverse","control_rating_ordered","control_rating_inverse","intuit_control_rating_ordered","intuit_control_rating_inverse","test_choice","final_test_choice","direction_choice_lib","direction_choice_conserv","final_direction_choice_conserv","control_choice_lib","control_choice_conserv","final_control_choice_conserv","ID"
18,"2026","Woman","2","3","1","2","1","1",90,30,NA,NA,95,80,NA,NA,80,82,NA,NA,"Correct","Correct","Other","Both","Both","Other","Both","Both",1
20,"2024","Woman","3","4","2","1","1","1",10,75,NA,NA,10,90,NA,NA,10,75,NA,NA,"Incorrect","Incorrect","Other","Inverse","Inverse",NA,"Unsure","Order Consistent",2
18,"2026","Man","4","4","2","1","2","1",23,77,NA,NA,50,50,NA,NA,0,0,NA,NA,"Correct","Correct","Other","Both","Both","Other","Neither","Neither",3
19,"2026","Man","4","4","2","1","2","2",NA,NA,NA,NA,50,50,NA,NA,70,40,NA,NA,"Unsure","Incorrect","Other","Inverse","Inverse","Other","Order Inconsistent","Order Inconsistent",4
18,"2026","Woman","3","2","1","2","1","1",70,30,NA,NA,65,50,NA,NA,NA,NA,2,2,"Correct","Correct","Order Consistent","Order Consistent","Order Consistent",NA,"Unsure","Order Consistent",5
18,"2026","Man","3","2","2","2","1","1",10,10,NA,NA,10,10,NA,NA,0,0,NA,NA,"Incorrect","Incorrect","Other","Neither","Neither","Other","Neither","Neither",6
20,"2024","Man","3","2","2","2","1","1",80,20,NA,NA,75,60,40,60,50,40,NA,NA,"Correct","Correct",NA,"Unsure","Order Consistent","Order Consistent","Order Consistent","Order Consistent",7
18,"2026","Woman","2","4","2","1","2","2",70,30,NA,NA,20,60,15,30,20,20,NA,NA,"Correct","Correct",NA,"Unsure","Inverse","Other","Neither","Neither",8
18,"2026","Man","1","2","2","2","1","1",0,0,0,0,0,0,0,0,0,0,0,0,"Unsure","Incorrect",NA,"Unsure","Order Consistent",NA,"Unsure","Both",9
20,"2025","Woman","3","3","1","2","2","1",55,0,55,0,55,100,45,100,0,55,0,55,"Unsure","Correct",NA,"Unsure","Inverse",NA,"Unsure","Order Inconsistent",10
21,"2024","Woman","3","3","1","2","2","1",55,20,60,40,40,80,40,70,30,5,30,5,"Unsure","Correct",NA,"Unsure","Inverse",NA,"Unsure","Neither",11
19,"2025","Woman","4","4","1","1","2","1",0,0,50,50,30,30,NA,NA,30,30,NA,NA,"Unsure","Incorrect","Other","Neither","Neither","Other","Neither","Neither",12
