"sim_id","test_activity_correct","test_activity_incorrect","direction_activity_SOCconsistent","direction_activity_inverse","control_activity_ordered","control_activity_inverse","model_type"
1,0.891,0.102,0.891,0.109,0.958,0.289,"split"
2,0.965,0.051,0.965,0.589,0.935,0.415,"split"
3,0.796,0.059,0.796,0.432,0.738,0.592,"split"
4,0.87,0.075,0.87,0.865,0.934,0.964,"split"
5,0.919,0.154,0.919,0.73,0.809,0.338,"split"
6,0.98,0.14,0.98,0.53,0.942,0.722,"split"
7,0.667,0.266,0.667,0.92,0.596,0.771,"split"
8,0.856,0.264,0.856,0.004,0.857,0.031,"split"
9,0.897,0.05,0.897,0.32,0.919,0.212,"split"
10,0.933,0.075,0.933,0.949,0.874,0.904,"split"
11,0.655,0.047,0.655,0.731,0.833,0.644,"split"
12,0.911,0.061,0.911,0.988,0.899,0.934,"split"
13,0.925,0.109,0.925,0.38,0.974,0.723,"split"
14,0.939,0.068,0.939,0.677,0.884,0.558,"split"
15,0.92,0.072,0.92,0.082,0.944,0.755,"split"
16,0.954,0.115,0.954,0.45,0.926,0.486,"split"
17,0.943,0.056,0.943,0.072,0.977,0.067,"split"
18,0.978,0.285,0.978,0.724,0.935,0.842,"split"
19,0.898,0.055,0.898,0.601,0.887,0.405,"split"
20,0.863,0.025,0.863,0.302,0.953,0.404,"split"
21,0.913,0.024,0.913,0.846,0.855,0.843,"split"
22,0.401,0.112,0.401,0.249,0.619,0.303,"split"
23,0.62,0.06,0.62,0.472,0.905,0.221,"split"
24,0.926,0.188,0.926,0.171,0.841,0.277,"split"
25,0.886,0.042,0.886,0.773,0.865,0.901,"split"
26,0.923,0.07,0.923,0.95,0.642,0.798,"split"
27,0.853,0.063,0.853,0.258,0.934,0.237,"split"
28,0.922,0.051,0.922,0.777,0.963,0.314,"split"
29,0.969,0.155,0.969,0.741,0.958,0.353,"split"
30,0.947,0.096,0.947,0.081,0.971,0.573,"split"
31,0.975,0.014,0.975,0.298,0.989,0.407,"no_inverse"
32,0.96,0.008,0.96,0.334,0.972,0.349,"no_inverse"
33,0.917,0.01,0.917,0.441,0.987,0.171,"no_inverse"
34,0.985,0.03,0.985,0.804,0.988,0.959,"no_inverse"
35,0.989,0.042,0.989,0.621,0.935,0.471,"no_inverse"
36,0.976,0.048,0.976,0.487,0.982,0.376,"no_inverse"
37,0.968,0.051,0.968,0.584,0.962,0.591,"no_inverse"
38,0.954,0.028,0.954,0.467,0.966,0.709,"no_inverse"
39,0.975,0.027,0.975,0.442,0.973,0.611,"no_inverse"
40,0.966,0.021,0.966,0.633,0.982,0.809,"no_inverse"
41,0.981,0.016,0.981,0.55,0.987,0.813,"no_inverse"
42,0.979,0.008,0.979,0.089,0.985,0.372,"no_inverse"
43,0.985,0.058,0.985,0.429,0.97,0.506,"no_inverse"
44,0.961,0.014,0.961,0.697,0.979,0.484,"no_inverse"
45,0.974,0.022,0.974,0.083,0.918,0.06,"no_inverse"
46,0.959,0.016,0.959,0.149,0.969,0.135,"no_inverse"
47,0.976,0.018,0.976,0.847,0.982,0.746,"no_inverse"
48,0.916,0.013,0.916,0.419,0.943,0.337,"no_inverse"
49,0.994,0.019,0.994,0.865,0.997,0.614,"no_inverse"
50,0.979,0.014,0.979,0.252,0.992,0.582,"no_inverse"
51,0.965,0.012,0.965,0.269,0.925,0.459,"no_inverse"
52,0.962,0.021,0.962,0.662,0.98,0.908,"no_inverse"
53,0.984,0.027,0.984,0.341,0.984,0.44,"no_inverse"
54,0.976,0.07,0.976,0.78,0.978,0.599,"no_inverse"
55,0.968,0.014,0.968,0.909,0.987,0.73,"no_inverse"
56,0.992,0.02,0.992,0.543,0.969,0.409,"no_inverse"
57,0.996,0.053,0.996,0.384,0.995,0.426,"no_inverse"
58,0.989,0.035,0.989,0.825,0.98,0.915,"no_inverse"
59,0.971,0.089,0.971,0.13,0.937,0.207,"no_inverse"
60,0.99,0.038,0.99,0.631,0.963,0.635,"no_inverse"
