sim_id,test_activity_correct,test_activity_incorrect,direction_activity_SOCconsistent,direction_activity_inverse,control_activity_ordered,control_activity_inverse,model_type
1,0.75,0.048,0.75,0.119,0.723,0.366,no_inverse
2,0.446,0.034,0.446,0.165,0.476,0.19,no_inverse
3,0.556,0.039,0.556,0.078,0.287,0.32,no_inverse
4,0.75,0.072,0.75,0.056,0.866,0.254,no_inverse
5,0.182,0.02,0.182,0.064,0.17,0.124,no_inverse
6,0.305,0.014,0.305,0.025,0.526,0.05,no_inverse
7,0.549,0.023,0.549,0.1,0.535,0.065,no_inverse
8,0.533,0.012,0.533,0.024,0.676,0.093,no_inverse
9,0.805,0.044,0.805,0.16,0.702,0.078,no_inverse
10,0.818,0.074,0.818,0.066,0.739,0.405,no_inverse
11,0.244,0.061,0.244,0.073,0.186,0.18,no_inverse
12,0.35,0.029,0.35,0.046,0.434,0.132,no_inverse
13,0.511,0.019,0.511,0.129,0.708,0.276,no_inverse
14,0.771,0.099,0.771,0.515,0.614,0.642,no_inverse
15,0.192,0.016,0.192,0.014,0.573,0.264,no_inverse
16,0.171,0.009,0.171,0.135,0.396,0.104,no_inverse
17,0.529,0.015,0.529,0.077,0.32,0.084,no_inverse
18,0.528,0.079,0.528,0.045,0.302,0.124,no_inverse
19,0.687,0.08,0.687,0.085,0.373,0.107,no_inverse
20,0.675,0.013,0.675,0.316,0.79,0.358,no_inverse
21,0.559,0.025,0.559,0.025,0.227,0.034,no_inverse
22,0.306,0.01,0.306,0.032,0.345,0.032,no_inverse
23,0.337,0.047,0.337,0.152,0.409,0.09,no_inverse
24,0.663,0.014,0.663,0.018,0.668,0.021,no_inverse
25,0.236,0.038,0.236,0.105,0.43,0.232,no_inverse
26,0.354,0.114,0.354,0.145,0.183,0.376,no_inverse
27,0.488,0.042,0.488,0.235,0.306,0.235,no_inverse
28,0.463,0.023,0.463,0.047,0.76,0.093,no_inverse
29,0.875,0.029,0.875,0.066,0.676,0.07,no_inverse
30,0.585,0.02,0.585,0.138,0.687,0.08,no_inverse
31,0.743,0.023,0.743,0.024,0.491,0.074,no_inverse
32,0.578,0.053,0.578,0.072,0.573,0.157,no_inverse
33,0.737,0.089,0.737,0.526,0.696,0.365,split
34,0.574,0.25,0.574,0.255,0.436,0.262,split
35,0.796,0.323,0.796,0.219,0.633,0.369,split
36,0.838,0.616,0.838,0.313,0.76,0.443,split
37,0.603,0.215,0.603,0.663,0.809,0.664,split
38,0.792,0.163,0.792,0.505,0.856,0.51,split
39,0.884,0.701,0.884,0.133,0.786,0.16,split
40,0.491,0.233,0.491,0.528,0.415,0.451,split
41,0.843,0.244,0.843,0.737,0.779,0.787,split
42,0.86,0.74,0.86,0.516,0.86,0.677,split
43,0.796,0.241,0.796,0.766,0.817,0.521,split
44,0.648,0.105,0.648,0.081,0.736,0.11,split
45,0.624,0.452,0.624,0.747,0.613,0.719,split
46,0.628,0.373,0.628,0.281,0.812,0.38,split
47,0.583,0.102,0.583,0.866,0.446,0.705,split
48,0.518,0.13,0.518,0.126,0.591,0.226,split
49,0.899,0.624,0.899,0.935,0.883,0.916,split
50,0.666,0.425,0.666,0.776,0.428,0.237,split
51,0.852,0.378,0.852,0.973,0.841,0.891,split
52,0.825,0.428,0.825,0.926,0.833,0.61,split
53,0.868,0.758,0.868,0.911,0.506,0.698,split
54,0.736,0.347,0.736,0.884,0.867,0.654,split
55,0.791,0.369,0.791,0.941,0.703,0.659,split
56,0.663,0.092,0.663,0.941,0.675,0.368,split
57,0.918,0.732,0.918,0.808,0.939,0.763,split
58,0.311,0.092,0.311,0.943,0.528,0.59,split
59,0.781,0.571,0.781,0.98,0.841,0.799,split
60,0.591,0.194,0.591,0.965,0.522,0.737,split
61,0.467,0.083,0.467,0.95,0.292,0.233,split
62,0.714,0.488,0.714,0.953,0.683,0.829,split
63,0.732,0.137,0.732,0.846,0.58,0.297,split
64,0.865,0.244,0.865,0.958,0.805,0.844,split
