"sim_id","test_activity_correct","test_activity_incorrect","direction_activity_SOCconsistent","direction_activity_inverse","control_activity_ordered","control_activity_inverse","model_type"
1,"﻿0.276","0.304","0.276","0.167","0.249","0.165","no_inverse"
2,"0.242","0.184","0.242","0.313","0.265","0.232","no_inverse"
3,"0.248","0.213","0.248","0.177","0.229","0.253","no_inverse"
4,"0.257","0.292","0.257","0.134","0.243","0.163","no_inverse"
5,"0.343","0.346","0.343","0.258","0.293","0.202","no_inverse"
6,"0.36","0.269","0.36","0.361","0.439","0.339","no_inverse"
7,"0.263","0.187","0.263","0.165","0.289","0.249","no_inverse"
8,"0.168","0.197","0.168","0.201","0.181","0.214","no_inverse"
9,"0.23","0.273","0.23","0.239","0.219","0.253","no_inverse"
10,"0.154","0.288","0.154","0.223","0.184","0.201","no_inverse"
11,"0.279","0.237","0.279","0.282","0.303","0.256","no_inverse"
12,"0.213","0.142","0.213","0.186","0.271","0.198","no_inverse"
13,"0.214","0.295","0.214","0.234","0.219","0.366","no_inverse"
14,"0.184","0.205","0.184","0.197","0.2","0.219","no_inverse"
15,"0.376","0.381","0.376","0.225","0.352","0.356","no_inverse"
16,"0.221","0.307","0.221","0.246","0.27","0.338","no_inverse"
17,"0.186","0.166","0.186","0.152","0.15","0.133","no_inverse"
18,"0.144","0.135","0.144","0.162","0.204","0.167","no_inverse"
19,"0.237","0.238","0.237","0.246","0.286","0.244","no_inverse"
20,"0.229","0.3","0.229","0.18","0.213","0.181","no_inverse"
21,"0.246","0.257","0.246","0.258","0.206","0.211","no_inverse"
22,"0.218","0.208","0.218","0.197","0.217","0.219","no_inverse"
23,"0.188","0.275","0.188","0.212","0.217","0.247","no_inverse"
24,"0.227","0.158","0.227","0.274","0.21","0.231","no_inverse"
25,"0.286","0.236","0.286","0.288","0.245","0.249","no_inverse"
26,"0.32","0.304","0.32","0.228","0.279","0.313","no_inverse"
27,"0.174","0.137","0.174","0.165","0.232","0.234","no_inverse"
28,"0.249","0.279","0.249","0.23","0.25","0.305","no_inverse"
29,"0.253","0.291","0.253","0.21","0.207","0.285","no_inverse"
30,"0.172","0.165","0.172","0.173","0.227","0.191","no_inverse"
31,"0.353","0.321","0.353","0.189","0.329","0.252","no_inverse"
32,"0.206","0.136","0.206","0.263","0.217","0.247","no_inverse"
33,"0.504","0.374","0.504","0.514","0.552","0.531","split"
34,"0.598","0.527","0.598","0.454","0.572","0.54","split"
35,"0.48","0.434","0.48","0.481","0.451","0.5","split"
36,"0.501","0.475","0.501","0.414","0.505","0.427","split"
37,"0.499","0.431","0.499","0.417","0.549","0.455","split"
38,"0.541","0.523","0.541","0.379","0.463","0.444","split"
39,"0.506","0.476","0.506","0.392","0.496","0.425","split"
40,"0.583","0.52","0.583","0.547","0.53","0.548","split"
41,"0.45","0.409","0.45","0.569","0.395","0.559","split"
42,"0.594","0.614","0.594","0.55","0.585","0.593","split"
43,"0.592","0.531","0.592","0.387","0.506","0.396","split"
44,"0.634","0.515","0.634","0.568","0.625","0.591","split"
45,"0.437","0.416","0.437","0.54","0.478","0.548","split"
46,"0.376","0.48","0.376","0.311","0.405","0.425","split"
47,"0.523","0.526","0.523","0.481","0.554","0.5","split"
48,"0.496","0.482","0.496","0.549","0.558","0.499","split"
49,"0.62","0.61","0.62","0.556","0.604","0.607","split"
50,"0.368","0.421","0.368","0.475","0.362","0.49","split"
51,"0.62","0.667","0.62","0.57","0.504","0.549","split"
52,"0.45","0.466","0.45","0.468","0.446","0.452","split"
53,"0.47","0.348","0.47","0.521","0.387","0.526","split"
54,"0.396","0.409","0.396","0.541","0.398","0.529","split"
55,"0.633","0.581","0.633","0.54","0.605","0.537","split"
56,"0.565","0.494","0.565","0.594","0.609","0.623","split"
57,"0.496","0.455","0.496","0.572","0.452","0.47","split"
58,"0.507","0.498","0.507","0.55","0.544","0.552","split"
59,"0.428","0.55","0.428","0.564","0.384","0.502","split"
60,"0.413","0.389","0.413","0.509","0.464","0.438","split"
61,"0.54","0.532","0.54","0.535","0.569","0.47","split"
62,"0.427","0.402","0.427","0.549","0.539","0.464","split"
63,"0.509","0.543","0.509","0.578","0.505","0.536","split"
64,"0.523","0.539","0.523","0.512","0.545","0.527","split"
