sim_id,test_activity_correct,test_activity_incorrect,direction_activity_SOCconsistent,direction_activity_inverse,control_activity_ordered,control_activity_inverse,model_type
1,0.161,0.182,0.161,0.181,0.18,0.203,no_inverse
2,0.211,0.287,0.211,0.263,0.235,0.254,no_inverse
3,0.173,0.181,0.173,0.193,0.169,0.181,no_inverse
4,0.228,0.227,0.228,0.199,0.242,0.164,no_inverse
5,0.163,0.132,0.163,0.164,0.191,0.145,no_inverse
6,0.137,0.132,0.137,0.117,0.147,0.116,no_inverse
7,0.189,0.185,0.189,0.231,0.222,0.245,no_inverse
8,0.223,0.237,0.223,0.185,0.167,0.176,no_inverse
9,0.126,0.134,0.126,0.143,0.103,0.149,no_inverse
10,0.139,0.126,0.139,0.146,0.161,0.185,no_inverse
11,0.175,0.189,0.175,0.167,0.167,0.149,no_inverse
12,0.192,0.195,0.192,0.087,0.123,0.089,no_inverse
13,0.301,0.226,0.301,0.251,0.227,0.211,no_inverse
14,0.142,0.106,0.142,0.107,0.117,0.169,no_inverse
15,0.152,0.193,0.152,0.192,0.094,0.176,no_inverse
16,0.273,0.317,0.273,0.231,0.282,0.322,no_inverse
17,0.351,0.261,0.351,0.207,0.275,0.261,no_inverse
18,0.109,0.117,0.109,0.115,0.138,0.125,no_inverse
19,0.094,0.106,0.094,0.174,0.121,0.126,no_inverse
20,0.163,0.156,0.163,0.142,0.17,0.174,no_inverse
21,0.243,0.216,0.243,0.134,0.192,0.132,no_inverse
22,0.237,0.132,0.237,0.102,0.334,0.216,no_inverse
23,0.159,0.312,0.159,0.228,0.148,0.295,no_inverse
24,0.133,0.125,0.133,0.13,0.108,0.132,no_inverse
25,0.21,0.197,0.21,0.118,0.158,0.129,no_inverse
26,0.256,0.299,0.256,0.331,0.24,0.347,no_inverse
27,0.119,0.115,0.119,0.11,0.13,0.184,no_inverse
28,0.238,0.235,0.238,0.21,0.222,0.207,no_inverse
29,0.313,0.288,0.313,0.226,0.3,0.238,no_inverse
30,0.115,0.104,0.115,0.088,0.104,0.074,no_inverse
31,0.185,0.173,0.185,0.2,0.165,0.242,no_inverse
32,0.177,0.169,0.177,0.17,0.158,0.176,no_inverse
33,0.432,0.424,0.432,0.343,0.501,0.432,split
34,0.483,0.465,0.483,0.403,0.486,0.416,split
35,0.576,0.606,0.576,0.563,0.564,0.574,split
36,0.765,0.759,0.765,0.806,0.689,0.76,split
37,0.292,0.341,0.292,0.438,0.376,0.442,split
38,0.59,0.613,0.59,0.61,0.614,0.596,split
39,0.454,0.47,0.454,0.48,0.483,0.609,split
40,0.422,0.481,0.422,0.571,0.417,0.571,split
41,0.531,0.526,0.531,0.431,0.473,0.48,split
42,0.56,0.5,0.56,0.457,0.477,0.478,split
43,0.395,0.432,0.395,0.542,0.406,0.471,split
44,0.584,0.562,0.584,0.521,0.543,0.512,split
45,0.535,0.509,0.535,0.434,0.514,0.493,split
46,0.381,0.35,0.381,0.47,0.429,0.324,split
47,0.533,0.601,0.533,0.451,0.425,0.49,split
48,0.49,0.488,0.49,0.462,0.547,0.494,split
49,0.531,0.514,0.531,0.484,0.482,0.503,split
50,0.699,0.726,0.699,0.719,0.675,0.667,split
51,0.307,0.432,0.307,0.476,0.411,0.42,split
52,0.479,0.531,0.479,0.452,0.411,0.399,split
53,0.379,0.427,0.379,0.437,0.387,0.458,split
54,0.571,0.521,0.571,0.644,0.582,0.582,split
55,0.326,0.351,0.326,0.425,0.419,0.41,split
56,0.449,0.455,0.449,0.427,0.413,0.432,split
57,0.564,0.577,0.564,0.563,0.553,0.558,split
58,0.502,0.467,0.502,0.43,0.497,0.476,split
59,0.653,0.683,0.653,0.622,0.596,0.665,split
60,0.433,0.444,0.433,0.463,0.422,0.486,split
61,0.538,0.564,0.538,0.536,0.575,0.537,split
62,0.466,0.456,0.466,0.514,0.608,0.494,split
63,0.482,0.525,0.482,0.546,0.496,0.549,split
64,0.497,0.47,0.497,0.534,0.471,0.484,split
