"sim_id","test_activity_correct","test_activity_incorrect","direction_activity_SOCconsistent","direction_activity_inverse","control_activity_ordered","control_activity_inverse","model_type"
1,"﻿0.595","0.088","0.595","0.175","0.608","0.304","no_inverse"
2,"0.225","0.04","0.225","0.116","0.297","0.086","no_inverse"
3,"0.25","0.109","0.25","0.152","0.297","0.152","no_inverse"
4,"0.489","0.09","0.489","0.175","0.437","0.258","no_inverse"
5,"0.597","0.063","0.597","0.16","0.659","0.226","no_inverse"
6,"0.288","0.052","0.288","0.258","0.287","0.237","no_inverse"
7,"0.414","0.097","0.414","0.219","0.46","0.201","no_inverse"
8,"0.614","0.072","0.614","0.107","0.484","0.185","no_inverse"
9,"0.438","0.08","0.438","0.116","0.489","0.145","no_inverse"
10,"0.692","0.132","0.692","0.473","0.685","0.327","no_inverse"
11,"0.488","0.198","0.488","0.165","0.44","0.149","no_inverse"
12,"0.454","0.088","0.454","0.117","0.294","0.148","no_inverse"
13,"0.311","0.07","0.311","0.06","0.322","0.194","no_inverse"
14,"0.746","0.172","0.746","0.246","0.734","0.281","no_inverse"
15,"0.527","0.067","0.527","0.136","0.509","0.185","no_inverse"
16,"0.69","0.066","0.69","0.123","0.526","0.332","no_inverse"
17,"0.306","0.04","0.306","0.088","0.321","0.046","no_inverse"
18,"0.36","0.069","0.36","0.082","0.308","0.2","no_inverse"
19,"0.556","0.032","0.556","0.128","0.57","0.17","no_inverse"
20,"0.238","0.128","0.238","0.144","0.31","0.241","no_inverse"
21,"0.316","0.05","0.316","0.179","0.409","0.13","no_inverse"
22,"0.586","0.187","0.586","0.333","0.596","0.451","no_inverse"
23,"0.356","0.044","0.356","0.079","0.447","0.145","no_inverse"
24,"0.494","0.08","0.494","0.069","0.55","0.222","no_inverse"
25,"0.348","0.033","0.348","0.08","0.483","0.193","no_inverse"
26,"0.672","0.128","0.672","0.074","0.511","0.169","no_inverse"
27,"0.312","0.162","0.312","0.095","0.23","0.147","no_inverse"
28,"0.69","0.082","0.69","0.379","0.687","0.33","no_inverse"
29,"0.506","0.075","0.506","0.133","0.59","0.135","no_inverse"
30,"0.209","0.035","0.209","0.268","0.216","0.124","no_inverse"
31,"0.27","0.16","0.27","0.199","0.473","0.204","no_inverse"
32,"0.567","0.059","0.567","0.164","0.475","0.172","no_inverse"
33,"0.628","0.303","0.628","0.31","0.583","0.285","split"
34,"0.497","0.23","0.497","0.53","0.582","0.336","split"
35,"0.833","0.621","0.833","0.842","0.771","0.762","split"
36,"0.919","0.83","0.919","0.754","0.935","0.815","split"
37,"0.791","0.507","0.791","0.497","0.897","0.582","split"
38,"0.606","0.344","0.606","0.613","0.745","0.574","split"
39,"0.351","0.35","0.351","0.362","0.417","0.44","split"
40,"0.783","0.48","0.783","0.552","0.702","0.529","split"
41,"0.776","0.369","0.776","0.774","0.827","0.749","split"
42,"0.805","0.696","0.805","0.286","0.798","0.356","split"
43,"0.755","0.529","0.755","0.105","0.634","0.182","split"
44,"0.591","0.417","0.591","0.408","0.614","0.57","split"
45,"0.47","0.353","0.47","0.397","0.47","0.336","split"
46,"0.646","0.181","0.646","0.299","0.667","0.301","split"
47,"0.356","0.398","0.356","0.419","0.351","0.371","split"
48,"0.322","0.209","0.322","0.238","0.376","0.255","split"
49,"0.842","0.602","0.842","0.822","0.872","0.726","split"
50,"0.689","0.307","0.689","0.771","0.617","0.633","split"
51,"0.477","0.618","0.477","0.834","0.698","0.71","split"
52,"0.47","0.352","0.47","0.975","0.78","0.824","split"
53,"0.254","0.282","0.254","0.541","0.22","0.338","split"
54,"0.706","0.486","0.706","0.861","0.542","0.747","split"
55,"0.423","0.493","0.423","0.843","0.354","0.679","split"
56,"0.832","0.49","0.832","0.935","0.863","0.86","split"
57,"0.434","0.64","0.434","0.76","0.511","0.701","split"
58,"0.841","0.49","0.841","0.862","0.902","0.851","split"
59,"0.5","0.435","0.5","0.637","0.453","0.618","split"
60,"0.733","0.676","0.733","0.726","0.499","0.685","split"
61,"0.471","0.426","0.471","0.387","0.524","0.418","split"
62,"0.583","0.662","0.583","0.616","0.609","0.548","split"
63,"0.558","0.643","0.558","0.933","0.531","0.762","split"
64,"0.656","0.251","0.656","0.778","0.756","0.43","split"
