id,model_type,test_choice,direction_choice,control_choice
1,no_inverse,1,0,0
2,no_inverse,1,1,1
3,no_inverse,1,1,1
4,no_inverse,1,0,0
5,no_inverse,1,1,1
6,no_inverse,1,1,1
7,no_inverse,1,1,1
8,no_inverse,1,1,0
9,no_inverse,1,1,1
10,no_inverse,1,1,1
11,split,1,0,1
12,split,1,0,0
13,split,1,0,0
14,split,1,0,0
15,split,1,1,1
16,split,1,0,0
17,split,1,1,0
18,split,1,0,0
19,split,1,0,0
20,split,1,0,0
21,no_inverse,1,1,1
22,no_inverse,1,0,0
23,no_inverse,1,1,1
24,no_inverse,1,1,1
25,no_inverse,1,1,1
26,no_inverse,1,1,0
27,no_inverse,1,1,1
28,no_inverse,1,1,1
29,no_inverse,1,0,1
30,no_inverse,1,1,1
31,split,1,0,1
32,split,1,0,0
33,split,1,0,0
34,split,1,0,0
35,split,1,0,0
36,split,1,1,0
37,split,1,1,1
38,split,1,0,0
39,split,1,0,0
40,split,1,0,0
41,no_inverse,1,0,0
42,no_inverse,1,1,1
43,no_inverse,1,0,0
44,no_inverse,1,1,1
45,no_inverse,1,1,1
46,no_inverse,1,1,1
47,no_inverse,1,1,1
48,no_inverse,1,1,1
49,no_inverse,1,1,1
50,no_inverse,1,0,0
51,split,1,1,1
52,split,1,0,0
53,split,1,1,0
54,split,1,0,0
55,split,1,0,0
56,split,1,0,0
57,split,1,0,0
58,split,1,0,0
59,split,1,0,1
60,split,1,1,1
