"sim_id","test_activity_correct","test_activity_incorrect","direction_activity_SOCconsistent","direction_activity_inverse","control_activity_ordered","control_activity_inverse","model_type"
1,0.781,0.001,0.781,0.043,0.881,0.185,"no_inverse"
2,0.777,0.001,0.777,0.04,0.932,0.182,"no_inverse"
3,0.959,0.027,0.959,0.007,0.91,0.028,"no_inverse"
4,0.753,0.004,0.753,0.002,0.597,0.02,"no_inverse"
5,0.515,0.001,0.515,0.091,0.679,0.242,"no_inverse"
6,0.712,0.013,0.712,0.157,0.485,0.085,"no_inverse"
7,0.15,0.001,0.15,0.049,0.084,0.008,"no_inverse"
8,0.356,0.004,0.356,0.105,0.154,0.041,"no_inverse"
9,0.885,0.024,0.885,0.056,0.721,0.052,"no_inverse"
10,0.534,0.005,0.534,0.01,0.412,0.076,"no_inverse"
11,0.661,0.009,0.661,0.065,0.298,0.332,"no_inverse"
12,0.725,0.001,0.725,0.041,0.638,0.054,"no_inverse"
13,0.362,0.003,0.362,0.015,0.574,0.346,"no_inverse"
14,0.612,0.002,0.612,0.045,0.779,0.064,"no_inverse"
15,0.347,0.002,0.347,0.035,0.499,0.021,"no_inverse"
16,0.209,0.003,0.209,0.04,0.289,0.075,"no_inverse"
17,0.594,0.009,0.594,0.008,0.797,0.065,"no_inverse"
18,0.904,0.003,0.904,0.086,0.866,0.011,"no_inverse"
19,0.378,0.001,0.378,0.005,0.613,0.024,"no_inverse"
20,0.393,0.003,0.393,0.032,0.565,0.023,"no_inverse"
21,0.79,0.002,0.79,0.009,0.807,0.052,"no_inverse"
22,0.888,0.002,0.888,0.016,0.928,0.156,"no_inverse"
23,0.813,0.008,0.813,0.078,0.885,0.243,"no_inverse"
24,0.589,0,0.589,0.035,0.662,0.064,"no_inverse"
25,0.932,0.012,0.932,0.003,0.814,0.079,"no_inverse"
26,0.724,0.004,0.724,0.011,0.602,0.069,"no_inverse"
27,0.745,0.011,0.745,0.036,0.875,0.11,"no_inverse"
28,0.639,0.003,0.639,0.021,0.843,0.083,"no_inverse"
29,0.958,0.083,0.958,0.145,0.941,0.6,"no_inverse"
30,0.86,0.021,0.86,0.13,0.958,0.353,"no_inverse"
31,0.913,0.03,0.913,0.028,0.925,0.053,"weak_inverse"
32,0.944,0.038,0.944,0.02,0.979,0.002,"weak_inverse"
33,0.773,0.112,0.773,0.05,0.775,0.012,"weak_inverse"
34,0.408,0.002,0.408,0.191,0.368,0.169,"weak_inverse"
35,0.961,0.009,0.961,0.005,0.9,0.008,"weak_inverse"
36,0.745,0.017,0.745,0.038,0.772,0.048,"weak_inverse"
37,0.911,0.004,0.911,0.005,0.728,0.007,"weak_inverse"
38,0.278,0.008,0.278,0.021,0.468,0.024,"weak_inverse"
39,0.941,0.004,0.941,0.063,0.848,0.08,"weak_inverse"
40,0.443,0.01,0.443,0.019,0.408,0.031,"weak_inverse"
